Fecha, Hora, Zona de Carga, Precio Zonal ($/MWh), Componente energia ($/MWh), Componente perdidas ($/MWh), Componente Congestion ($/MWh),,
01/04/2025,15,CENTRO ORIENTE,1117.41,319.56,20.97,776.89,0,1
01/04/2025,16,CENTRO ORIENTE,1128.88,341.22,22.68,764.98,0,1
01/04/2025,17,CENTRO ORIENTE,1053.05,536.09,36.04,480.93,0,1
01/04/2025,18,CENTRO ORIENTE,984.3,628.88,41.44,313.98,0,1
01/04/2025,19,CENTRO ORIENTE,1468.59,897.92,60.36,510.31,0,1
01/04/2025,20,CENTRO ORIENTE,2884.75,2703.16,193.03,-11.45,0,1
01/04/2025,21,CENTRO ORIENTE,3446.19,3775.34,274.8,-603.94,0,1
01/04/2025,22,CENTRO ORIENTE,1929.23,820.38,58.51,1050.35,0,1
01/04/2025,23,CENTRO ORIENTE,1270.18,1190.61,80.28,-0.72,0,1
01/04/2025,24,CENTRO ORIENTE,968.45,908.97,59.5,-0.02,0,1
01/04/2025,1,CENTRO SUR,914.54,931.29,60.07,-76.82,0,1
01/04/2025,2,CENTRO SUR,898.54,901.5,55.72,-58.68,0,1
01/04/2025,3,CENTRO SUR,1168.34,669.13,42.55,456.66,0,1
01/04/2025,4,CENTRO SUR,708.47,711.01,45.33,-47.87,0,1
01/04/2025,5,CENTRO SUR,696.35,716.08,46.48,-66.21,0,1
01/04/2025,6,CENTRO SUR,675.31,695.78,42.81,-63.28,0,1
01/04/2025,7,CENTRO SUR,721.95,741.91,48.05,-68.01,0,1
01/04/2025,8,CENTRO SUR,741.73,694.03,47.67,0.04,0,1
01/04/2025,9,CENTRO SUR,664.07,621.79,43.04,-0.76,0,1
01/04/2025,10,CENTRO SUR,641.11,540.62,34.91,65.59,0,1
01/04/2025,11,CENTRO SUR,739.89,433.31,28.03,278.55,0,1
01/04/2025,12,CENTRO SUR,953.61,239.49,15.56,698.56,0,1
01/04/2025,13,CENTRO SUR,906.01,377.9,24.54,503.57,0,1
01/04/2025,14,CENTRO SUR,888.62,278.68,18.39,591.56,0,1
01/04/2025,15,CENTRO SUR,1006.72,319.56,21.21,665.95,0,1
01/04/2025,16,CENTRO SUR,1006.76,341.22,22.64,642.89,0,1
01/04/2025,17,CENTRO SUR,982.95,536.09,35.8,411.07,0,1
01/04/2025,18,CENTRO SUR,940.44,628.88,41.39,270.17,0,1
01/04/2025,19,CENTRO SUR,1377.85,897.92,58.55,421.37,0,1
01/04/2025,20,CENTRO SUR,2709.79,2703.16,177.3,-170.67,0,1
01/04/2025,21,CENTRO SUR,3288.35,3775.34,249.26,-736.24,0,1
01/04/2025,22,CENTRO SUR,1731.08,820.38,54.69,856.01,0,1
01/04/2025,23,CENTRO SUR,1268.53,1190.61,77.4,0.53,0,1
01/04/2025,24,CENTRO SUR,970.06,908.97,61.06,0.03,0,1
01/04/2025,1,CHETUMAL,1154.6,931.29,276.22,-52.92,0,1
01/04/2025,2,CHETUMAL,1125.4,901.5,264.63,-40.72,0,1
01/04/2025,3,CHETUMAL,2163.76,669.13,199.62,1295.01,0,1
01/04/2025,4,CHETUMAL,907.76,711.01,196.11,0.64,0,1
01/04/2025,5,CHETUMAL,852.67,716.08,182.77,-46.18,0,1
01/04/2025,6,CHETUMAL,797.02,695.78,145.34,-44.1,0,1
01/04/2025,7,CHETUMAL,834.3,741.91,139.99,-47.6,0,1
01/04/2025,8,CHETUMAL,835.65,694.03,141.66,-0.04,0,1
01/04/2025,9,CHETUMAL,756.95,621.79,132.81,2.35,0,1
01/04/2025,10,CHETUMAL,737.69,540.62,120.41,76.66,0,1
01/04/2025,11,CHETUMAL,846.72,433.31,89.06,324.35,0,1
01/04/2025,12,CHETUMAL,1076.23,239.49,49.68,787.05,0,1
01/04/2025,13,CHETUMAL,1013.96,377.9,72.37,563.69,0,1
01/04/2025,14,CHETUMAL,994,278.68,57.08,658.25,0,1
01/04/2025,15,CHETUMAL,1136.46,319.56,73.59,743.31,0,1
01/04/2025,16,CHETUMAL,1227.21,341.22,79.69,806.3,0,1
01/04/2025,17,CHETUMAL,1341.49,536.09,130.51,674.89,0,1
01/04/2025,18,CHETUMAL,1127.84,628.88,148.85,350.11,0,1
01/04/2025,19,CHETUMAL,3307.57,897.92,226.69,2182.96,0,1
01/04/2025,20,CHETUMAL,3580.86,2703.16,676.05,201.65,0,1
01/04/2025,21,CHETUMAL,4016.59,3775.33,954.87,-713.62,0,1
01/04/2025,22,CHETUMAL,3844.84,820.38,207.9,2816.57,0,1
01/04/2025,23,CHETUMAL,4411.57,1190.61,302.08,2918.88,0,1
01/04/2025,24,CHETUMAL,4285.91,908.97,248.43,3128.52,0,1
01/04/2025,1,CHIHUAHUA,247.53,931.29,-181.34,-502.42,0,1
01/04/2025,2,CHIHUAHUA,231.24,901.5,-178.75,-491.51,0,1
01/04/2025,3,CHIHUAHUA,150.85,669.13,-138.23,-380.06,0,1
01/04/2025,4,CHIHUAHUA,153.85,711.01,-148.26,-408.9,0,1
01/04/2025,5,CHIHUAHUA,156.62,716.08,-147.6,-411.86,0,1
